I_e,Tau_Syn_Ex,Result
3,8.100000000000007,6.632120543917678
3,8.200000000000006,6.549083650880058
3,8.300000000000006,6.477386934673367
3,8.400000000000006,6.364309645565156
3,8.500000000000007,6.310893512851897
3,8.600000000000007,5.617298755808724
3,8.700000000000006,5.231693838076817
3,8.800000000000008,5.16180479825518
3,8.900000000000007,4.612720179690271
3,9.000000000000007,3.884489125974559
3,9.100000000000007,3.55125199287255
3,9.200000000000006,3.510427903631787
3,9.300000000000008,3.918125721165906
3,9.400000000000007,3.889829664309194
3,9.500000000000007,3.863467721988622
3,9.600000000000009,3.1010522136192176
3,9.700000000000008,2.9707112970711296
3,9.800000000000008,2.933113005595824
3,9.900000000000007,2.9154845453187996
4,1.0,0.0
4,1.1,0.0
4,1.2000000000000002,0.0
4,1.3000000000000003,0.0
4,1.4000000000000004,0.0
4,1.5000000000000004,0.0
4,1.6000000000000005,0.0
4,1.7000000000000006,0.0
4,1.8000000000000007,0.0
4,1.9000000000000008,0.0
4,2.000000000000001,0.0
4,2.100000000000001,0.0
4,2.200000000000001,0.0
4,2.300000000000001,0.0
4,2.4000000000000012,0.0
4,2.5000000000000013,0.0
4,2.6000000000000014,0.0
4,2.7000000000000015,0.0
4,2.8000000000000016,0.0
4,2.9000000000000017,0.0
4,3.0000000000000018,0.0
4,3.100000000000002,0.0
4,3.200000000000002,0.0
4,3.300000000000002,0.0
4,3.400000000000002,0.0
4,3.500000000000002,0.0
4,3.6000000000000023,0.0
4,3.7000000000000024,0.0
